Date,Open,High,Low,Close,Adj Close,Volume
2018-09-03,6.540000,6.790000,4.280000,4.300000,4.300000,3497200
2018-09-10,4.360000,4.650000,3.610000,3.940000,3.940000,3778200
2018-09-17,3.920000,4.290000,3.730000,3.990000,3.990000,1865800
2018-09-24,3.950000,4.140000,3.530000,3.650000,3.650000,1398000
2018-10-01,3.740000,3.759000,2.910000,3.020000,3.020000,1724000
2018-10-08,3.020000,3.117000,2.150000,2.570000,2.570000,7280100
2018-10-15,2.800000,2.990000,2.410000,2.480000,2.480000,3141300
2018-10-22,2.470000,2.680000,2.207000,2.520000,2.520000,1909200
2018-10-29,2.540000,2.690000,2.250000,2.540000,2.540000,1476100
2018-11-05,2.530000,3.330000,2.502000,2.560000,2.560000,4750100
2018-11-12,2.540000,2.617000,2.150000,2.190000,2.190000,1774500
2018-11-19,2.170000,2.240000,1.650000,1.850000,1.850000,1777700
2018-11-26,2.000000,2.500000,1.700000,1.860000,1.860000,4459200
2018-12-03,1.930000,1.930000,1.700000,1.730000,1.730000,1140800
2018-12-10,1.760000,1.770000,1.350000,1.350000,1.350000,2124400
2018-12-17,1.410000,2.280000,1.410000,1.500000,1.500000,10234400
2018-12-24,1.520000,1.680000,1.290000,1.570000,1.570000,3244000
2018-12-31,1.580000,1.750000,1.450000,1.650000,1.650000,1869600
2019-01-07,1.680000,1.817000,1.510000,1.620000,1.620000,1973400
2019-01-14,1.600000,1.690000,1.540000,1.630000,1.630000,1224300
2019-01-21,1.660000,2.010000,1.550000,1.760000,1.760000,2411800
2019-01-28,1.740000,1.930000,1.650000,1.810000,1.810000,1340300
2019-02-04,1.820000,2.450000,1.804000,2.370000,2.370000,5145200
2019-02-11,2.370000,2.480000,1.990000,2.470000,2.470000,4164400
2019-02-18,2.940000,4.240000,2.900000,3.950000,3.950000,40183400
